Lon,hotelid,hotelname,tags,starrating,roomtype,country,city,propertytype,url
0,634876,The Old Cider House,Airconditioning Alarmclock Carpeting Closet Coffee/teamaker Desk DVD/CDplayer Fan FreeWi-Fiinallrooms! Hairdryer Heating In-roomsafebox Ironingfacilities Linens Minibar Seatingarea Toiletries Towels TV[flatscreen]  DoubleRoom Shower 1kingbed 25CastleStreet NetherStowey UnitedKingdom Hotels,4,Double Room,United Kingdom,Nether Stowey,Hotels,https://www.agoda.com/en-gb/the-old-cider-house/hotel/nether-stowey-gb.html
2,634876,The Old Cider House,Airconditioning Alarmclock Carpeting Closet Coffee/teamaker Desk DVD/CDplayer Fan FreeWi-Fiinallrooms! Hairdryer Heating In-roomsafebox Ironingfacilities Linens Minibar Seatingarea Toiletries Towels TV[flatscreen]  DeluxeDoubleRoomwithShower Shower 1queenbedor2singlebeds 25CastleStreet NetherStowey UnitedKingdom Hotels,4,Deluxe Double Room with Shower,United Kingdom,Nether Stowey,Hotels,https://www.agoda.com/en-gb/the-old-cider-house/hotel/nether-stowey-gb.html
3,634876,The Old Cider House,Airconditioning Alarmclock Carpeting Closet Coffee/teamaker DVD/CDplayer Fan FreeWi-Fiinallrooms! Hairdryer Heating In-roomsafebox Ironingfacilities Linens Minibar Seatingarea Toiletries Towels TV[flatscreen]  SuperiorDoubleRoom Shower 1doublebed 25CastleStreet NetherStowey UnitedKingdom Hotels,4,Superior Double Room,United Kingdom,Nether Stowey,Hotels,https://www.agoda.com/en-gb/the-old-cider-house/hotel/nether-stowey-gb.html
4,634876,The Old Cider House,Airconditioning Alarmclock Carpeting Closet Coffee/teamaker Desk DVD/CDplayer Fan FreeWi-Fiinallrooms! Hairdryer Heating In-roomsafebox Ironingfacilities Linens Minibar Seatingarea Toiletries Towels TV[flatscreen]  StandardDoubleorTwinRoom Shower 1queenbedor2singlebeds 25CastleStreet NetherStowey UnitedKingdom Hotels,4,Standard Double or Twin Room,United Kingdom,Nether Stowey,Hotels,https://www.agoda.com/en-gb/the-old-cider-house/hotel/nether-stowey-gb.html
10,8328096,Pantlleni,Airconditioning Closet Fireplace FreeWi-Fiinallrooms! Fullkitchen Heating Highchair In-roomsafebox Microwave Seatingarea Separatediningarea Sofa TV Washingmachine  VacationHome Shower Kitchenette 2bedrooms 1doublebedor2singlebeds nan Beddgelert UnitedKingdom Hotels,3,Vacation Home,United Kingdom,Beddgelert,Hotels,https://www.agoda.com/en-gb/pantlleni/hotel/beddgelert-gb.html
11,8323442,Willow Cottage,Airconditioning Closet Dishwasher Fireplace FreeWi-Fiinallrooms! Fullkitchen Heating Highchair In-roomsafebox Microwave Refrigerator Seatingarea Separatediningarea Sofa TV Washingmachine  VacationHome Shower Kitchenette 2bedrooms 1doublebedor2singlebeds nan Beverley UnitedKingdom Hotels,3,Vacation Home,United Kingdom,Beverley,Hotels,https://www.agoda.com/en-gb/willow-cottage/hotel/beverley-gb.html
14,7975,Apollo Hotel London,Airconditioning Clothesrack Coffee/teamaker Dailyhousekeeping Hairdryer Heating In-roomsafebox Internetaccess–wireless Satellite/cablechannels Telephone Toiletries  StandardTripleRoom Shower 3singlebeds 64-66QueensboroughTerrace London UnitedKingdom Hotels,2,Standard Triple Room,United Kingdom,London,Hotels,https://www.agoda.com/en-gb/apollo-hotel-london/hotel/london-gb.html
17,7975,Apollo Hotel London,Airconditioning Clothesrack Heating In-roomsafebox Toiletries TV  DeluxeTripleRoom Shower 1singlebedand1doublebed 64-66QueensboroughTerrace London UnitedKingdom Hotels,2,Deluxe Triple Room,United Kingdom,London,Hotels,https://www.agoda.com/en-gb/apollo-hotel-london/hotel/london-gb.html
19,7975,Apollo Hotel London,nan StandardSingleRoom nan 64-66QueensboroughTerrace London UnitedKingdom Hotels,2,Standard Single Room,United Kingdom,London,Hotels,https://www.agoda.com/en-gb/apollo-hotel-london/hotel/london-gb.html
20,7975,Apollo Hotel London,Airconditioning Clothesrack Coffee/teamaker Hairdryer Heating In-roomsafebox Toiletries TV  DeluxeDoubleRoom Shower 1doublebed 64-66QueensboroughTerrace London UnitedKingdom Hotels,2,Deluxe Double Room,United Kingdom,London,Hotels,https://www.agoda.com/en-gb/apollo-hotel-london/hotel/london-gb.html
